MOVIE,DISTRIBUTOR
Batman Forever,Warner Bros.
Independence Day,20th Century Fox
Men in Black,Sony Pictures
Titanic,Paramount Pictures
Star Wars Ep. I: The Phantom Menace,20th Century Fox
How the Grinch Stole Christmas,Universal
Harry Potter and the Sorcerer’s Stone,Warner Bros.
Spider-Man,Sony Pictures
Finding Nemo,Walt Disney
Shrek 2,Dreamworks SKG
Star Wars Ep. III: Revenge of the Sith,20th Century Fox
Pirates of the Caribbean: Dead Man’s Chest,Walt Disney
Spider-Man 3,Sony Pictures
The Dark Knight,Warner Bros.
Transformers: Revenge of the Fallen,Paramount Pictures
Toy Story 3,Walt Disney
